,feature,importance
34,FP_0034,0.00014573737860631747
370,FP_0370,0.00014523031503692517
886,FP_0886,0.00014478487243489051
1943,FP_1943,0.00014457781322672956
2047,FP_2047,0.0001445684566497297
980,FP_0980,0.00014440248007727878
709,FP_0709,0.00014406817218157072
482,FP_0482,0.00014401121457457608
208,FP_0208,0.00014399552766969167
765,FP_0765,0.00014380799659884157
625,FP_0625,0.00014379708379985817
1838,FP_1838,0.0001437852131624984
1687,FP_1687,0.0001437817222657045
1942,FP_1942,0.00014377717246636426
106,FP_0106,0.0001435558601107662
1575,FP_1575,0.00014342054372829717
979,FP_0979,0.00014337350655266618
1121,FP_1121,0.00014314948301487467
334,FP_0334,0.00014270664193428496
1125,FP_1125,0.00014268707745914786
994,FP_0994,0.00014203445056807485
976,FP_0976,0.00014179381368888968
831,FP_0831,0.0001416766321399956
1279,FP_1279,0.0001415438180529675
2041,FP_2041,0.00014114257590716112
1267,FP_1267,0.00014101441000506756
205,FP_0205,0.00014074641248096846
307,FP_0307,0.0001406347719514635
497,FP_0497,0.00014006175746237684
1013,FP_1013,0.00013988495071094587
1800,FP_1800,0.00013987620830954899
1141,FP_1141,0.000139383503093143
1783,FP_1783,0.00013928672436190227
1307,FP_1307,0.00013882220826074397
711,FP_0711,0.00013857276617533346
585,FP_0585,0.00013834876720673474
104,FP_0104,0.0001382949245391313
941,FP_0941,0.0001381656432919373
207,FP_0207,0.0001381534080989475
1649,FP_1649,0.00013815125718615598
266,FP_0266,0.0001380093323066329
2016,FP_2016,0.00013799007672396922
693,FP_0693,0.0001378455344654547
1820,FP_1820,0.000137781700235569
895,FP_0895,0.00013770263860422407
836,FP_0836,0.00013712146924550698
1964,FP_1964,0.00013623162854630585
8,FP_0008,0.00013584101577719494
108,FP_0108,0.00013573876713583922
448,FP_0448,0.000135595330924456
1664,FP_1664,0.00013523705776554402
1981,FP_1981,0.0001351023350430774
1532,FP_1532,0.00013464473987632807
1308,FP_1308,0.00013447562913261507
1460,FP_1460,0.00013442420795806967
940,FP_0940,0.00013407633573915464
590,FP_0590,0.00013390564097631488
1507,FP_1507,0.0001338404072647048
1056,FP_1056,0.00013366209240462247
128,FP_0128,0.00013365968647653277
522,FP_0522,0.00013362865840114383
169,FP_0169,0.0001331951391875361
644,FP_0644,0.0001328487976694966
1994,FP_1994,0.00013252876664962836
1043,FP_1043,0.0001324079056616023
798,FP_0798,0.0001320141040334664
1144,FP_1144,0.0001319604511114685
1016,FP_1016,0.00013127260853289688
1091,FP_1091,0.00013097415974793508
1828,FP_1828,0.0001308844660341091
1009,FP_1009,0.0001308738849978026
623,FP_0623,0.00013073709265512505
1235,FP_1235,0.00013030897194527048
857,FP_0857,0.00013029005310762683
1324,FP_1324,0.00013025420638610819
887,FP_0887,0.00012944643494675108
1606,FP_1606,0.00012943810790109458
