chid,casn,dsstox_substance_id,casn_normalized,PUBCHEM_CID
41514.0,21662-09-9,DTXSID5041514,21662-09-9,
27061.0,135-19-3,DTXSID5027061,135-19-3,
20140.0,532-32-1,DTXSID1020140,532-32-1,
20420.0,23950-58-5,DTXSID2020420,23950-58-5,
24052.0,55290-64-7,DTXSID0024052,55290-64-7,
41715.0,6625-46-3,DTXSID6041715,6625-46-3,
21770.0,79-95-8,DTXSID3021770,79-95-8,
25096.0,627-93-0,DTXSID8025096,627-93-0,
20617.0,97-53-0,DTXSID9020617,97-53-0,3314.0
20232.0,58-08-2,DTXSID0020232,58-08-2,2519.0
20372.0,53-19-0,DTXSID9020372,53-19-0,
25337.0,75-12-7,DTXSID8025337,75-12-7,713.0
35423.0,571-58-4,DTXSID8035423,571-58-4,
26691.0,102-76-1,DTXSID3026691,102-76-1,
34528.0,145701-21-9,DTXSID4034528,145701-21-9,3081304.0
21277.0,110-44-1,DTXSID3021277,110-44-1,643460.0
47280.0,289716-94-5,DTXSID6047280,289716-94-5,9861124.0
47696.0,61791-12-6,DTXSID2047696,61791-12-6,
27094.0,142-16-5,DTXSID2027094,142-16-5,
47592.0,484-17-3,DTXSID9047592,484-17-3,
20759.0,78-59-1,DTXSID8020759,78-59-1,6544.0
34165.0,63612-50-0,DTXSID3034165,63612-50-0,
21943.0,112-12-9,DTXSID2021943,112-12-9,
47527.0,66456-53-9,DTXSID6047527,66456-53-9,
37730.0,31519-22-9,DTXSID0037730,31519-22-9,
20091.0,142-04-1,DTXSID3020091,142-04-1,
22525.0,5153-25-3,DTXSID4022525,5153-25-3,
25293.0,149-57-5,DTXSID9025293,149-57-5,8697.0
44575.0,71526-07-3,DTXSID0044575,71526-07-3,
26647.0,99-96-7,DTXSID3026647,99-96-7,
41877.0,151-05-3,DTXSID3041877,151-05-3,
41557.0,53219-21-9,DTXSID6041557,53219-21-9,
35010.0,129-06-6,DTXSID7035010,129-06-6,
26792.0,108-44-1,DTXSID1026792,108-44-1,
21957.0,118-55-8,DTXSID6021957,118-55-8,
44430.0,451-40-1,DTXSID6044430,451-40-1,
32365.0,1194-65-6,DTXSID5032365,1194-65-6,3031.0
27756.0,13826-35-2,DTXSID7027756,13826-35-2,
21666.0,544-63-8,DTXSID6021666,544-63-8,
47296.0,112733-06-9,DTXSID0047296,112733-06-9,
23193.0,63-42-3,DTXSID2023193,63-42-3,
47305.0,NOCAS_47305,DTXSID2047305,,
21980.0,123-66-0,DTXSID3021980,123-66-0,
26811.0,108-98-5,DTXSID7026811,108-98-5,
21256.0,599-79-1,DTXSID0021256,599-79-1,
22370.0,57-83-0,DTXSID3022370,57-83-0,5994.0
42007.0,1323-38-2,DTXSID3042007,1323-38-2,
48522.0,NOCAS_48522,DTXSID3048522,,
47425.0,1638-22-8,DTXSID3047425,1638-22-8,
27494.0,2687-25-4,DTXSID4027494,2687-25-4,17593.0
42206.0,2687-96-9,DTXSID4042206,2687-96-9,
24097.0,111-76-2,DTXSID1024097,111-76-2,8133.0
26943.0,115-77-5,DTXSID2026943,115-77-5,
34518.0,13684-56-5,DTXSID0034518,13684-56-5,24743.0
23723.0,77-86-1,DTXSID2023723,77-86-1,
26513.0,85-40-5,DTXSID8026513,85-40-5,
25453.0,123-92-2,DTXSID9025453,123-92-2,
22137.0,928-96-1,DTXSID6022137,928-96-1,
25599.0,6317-18-6,DTXSID8025599,6317-18-6,22772.0
24045.0,64-67-5,DTXSID1024045,64-67-5,
21641.0,112-05-0,DTXSID3021641,112-05-0,
22008.0,143-08-8,DTXSID6022008,143-08-8,
28038.0,55406-53-6,DTXSID0028038,55406-53-6,
21969.0,121-33-5,DTXSID0021969,121-33-5,
47278.0,214535-77-0,DTXSID2047278,214535-77-0,10407399.0
46970.0,105624-86-0,DTXSID1046970,105624-86-0,
25050.0,111-40-0,DTXSID2025050,111-40-0,
48208.0,89-71-4,DTXSID6048208,89-71-4,
